Make,Model,Name,Trim,Year,finalPrice,retailPrice
Ram,1500,2021 Ram 1500 Laramie Truck Crew Cab,Laramie,2021,"$43,990 ","$43,990 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR SPORT S,2-DOOR SPORT S,2024,"$43,655 ","$44,155 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Rubicon SUV,Unlimited Rubicon,2020,"$44,435 ","$45,830 "
Jeep,Wrangler,2018 Jeep Wrangler Unlimited Sahara 4x4 SUV,Unlimited Sahara 4x4,2018,"$29,988 ","$29,988 "
Jeep,Renegade,2023 Jeep Renegade UPLAND 4X4,UPLAND 4X4,2023,"$30,312 ","$31,270 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$30,765 ","$31,765 "
Jeep,Compass,2024 Jeep Compass LATITUDE LUX 4X4,LATITUDE LUX 4X4,2024,"$31,617 ","$33,490 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$31,905 ","$34,440 "
Ram,1500 Classic,2021 Ram 1500 Classic SLT Truck Quad Cab,SLT,2021,"$32,990 ","$32,990 "
Jeep,Compass,2024 Jeep Compass LATITUDE LUX 4X4,LATITUDE LUX 4X4,2024,"$32,154 ","$34,085 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2020,"$33,877 ","$36,647 "
Toyota,Highlander,2020 Toyota Highlander Limited SUV,Limited,2020,"$33,880 ","$34,880 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$32,895 ","$35,035 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$32,895 ","$35,035 "
Chrysler,300,2022 Chrysler 300 Touring L Sedan,Touring L,2022,"$33,988 ","$33,988 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2020,"$34,577 ","$37,120 "
Ram,1500,2021 Ram 1500 Big Horn/Lone Star Truck Quad Cab,Big Horn/Lone Star,2021,"$34,621 ","$36,681 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR SPORT,2-DOOR SPORT,2024,"$34,155 ","$34,655 "
Dodge,Challenger,2023 Dodge Challenger SXT Coupe,SXT,2023,"$34,977 ","$35,770 "
Jeep,Wrangler,2019 Jeep Wrangler Unlimited Sport 4x4 SUV,Unlimited Sport 4x4,2019,"$34,985 ","$34,985 "
Jeep,Compass,2024 Jeep Compass LATITUDE LUX 4X4,LATITUDE LUX 4X4,2024,"$34,570 ","$36,765 "
Jeep,Grand Cherokee L,2021 Jeep Grand Cherokee L Laredo SUV,Laredo,2021,"$35,777 ","$39,582 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$34,783 ","$36,335 "
Jeep,Wrangler,2021 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2021,"$35,990 ","$36,840 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2020,"$35,990 ","$35,990 "
Jeep,Compass,2024 Jeep Compass LATITUDE LUX 4X4,LATITUDE LUX 4X4,2024,"$35,107 ","$37,360 "
Jeep,Compass,2024 Jeep Compass LATITUDE LUX 4X4,LATITUDE LUX 4X4,2024,"$35,107 ","$37,360 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$35,207 ","$38,615 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$35,311 ","$37,715 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$35,848 ","$38,310 "
Jeep,Wrangler,2021 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2021,"$36,990 ","$36,990 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2020,"$36,990 ","$37,585 "
Jeep,Compass,2024 Jeep Compass TRAILHAWK 4X4,TRAILHAWK 4X4,2024,"$36,473 ","$38,765 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$36,600 ","$38,310 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sahara SUV,Unlimited Sahara,2020,"$37,735 ","$37,735 "
Jeep,Gladiator,2020 Jeep Gladiator Sport Truck Crew Cab,Sport,2020,"$37,935 ","$37,935 "
Jeep,Wrangler,2022 Jeep Wrangler Unlimited Sport SUV,Unlimited Sport,2022,"$37,977 ","$41,318 "
Jeep,Wrangler,2024 Jeep Wrangler 2-DOOR SPORT S,2-DOOR SPORT S,2024,"$37,755 ","$38,255 "
Jeep,Grand Cherokee L,2021 Jeep Grand Cherokee L Limited SUV,Limited,2021,"$38,377 ","$39,980 "
